,Unnamed: 0,Facility.Name,APR.Severity.of.Illness.Code,mean_cost_dif,mean_charge_dif,Facility.Id,address,latitude,longitude
0,1,The Unity Hospital of Rochester,0,-0.997405401004051,-0.99600488204373,471,1555 Long Pond Road,43.191551,-77.701538
1,2,Faxton-St Lukes Healthcare St Lukes Division,0,-0.98498538230035,-0.991808969597456,599,1656 Champlin Avenue,43.098179,-75.275383
2,3,Mercy Hospital of Buffalo,0,-0.973998006056348,-0.98489817716738,213,565 Abbott Road,42.84853,-78.812859
3,4,SJRH - Park Care Pavilion,4,-0.934116845438262,-0.930271465140781,1099,967 North Broadway,40.939613,-73.892181
4,5,St Joseph's Medical Center,0,-0.923493764501655,-0.955437609594112,1098,127 S Broadway,40.929512,-73.896957
5,6,Mount Sinai West,0,-0.883272560795565,-0.940588857058376,1466,Amsterdam Avenue At 114th Street,40.770092,-73.987785
6,7,Westfield Memorial Hospital Inc,2,-0.879474980096755,-0.892214938304779,111,189 East Main Street,42.327965,-79.569412
7,8,Mount Sinai Hospital,0,-0.857497862301145,-0.872920144574589,1456,One Gustave L Levy Place,40.790482,-73.953766
8,9,St James Mercy Hospital,4,-0.852584925310832,-0.846752664139255,870,411 Canisteo Street,42.314438,-77.660164
9,10,Cuba Memorial Hospital Inc,3,-0.850329094869775,-0.937228831895255,37,140 West Main St,42.213474,-78.287506
10,11,Bertrand Chaffee Hospital,4,-0.844201989888155,-0.893844886311397,280,224 East Main Street,42.508575,-78.659103
11,12,Westfield Memorial Hospital Inc,1,-0.822680138912517,-0.845068428641235,111,189 East Main Street,42.327965,-79.569412
12,13,Westfield Memorial Hospital Inc,3,-0.808262328924201,-0.828355493185649,111,189 East Main Street,42.327965,-79.569412
13,14,Monroe Community Hospital,3,-0.803163661436362,-0.882147682616176,414,111 Westfall Road,43.112251,-77.616165
14,15,University Hospital - Stony Brook Southampton Hospital,0,-0.794192674042375,-0.823327090559849,889,178-50 Linden Blvd,40.885757,-72.380692
